AANHITW	Hilton Al Ain
ABEAWGI	Hilton Garden Inn Allentown West
ABEGIGI	Hilton Garden Inn Allentown Bethlehem Airport
ABEHWHW	Homewood Suites Allenton West
ABGVAHX	Hampton Inn Abingdon
ABIABGI	Hilton Garden Inn Abilene
ABIHSHX	Hampton Inn and Suites Abilene-I-20, TX
ABISWHX	Hampton Inn Sweetwater, TX
ABITXHX	Hampton Inn Abilene
ABQAAGI	Hilton Garden Inn Albuquerque Airport
ABQAPHW	Homewood Suites by Hilton Albuquerque Airport
ABQCOHX	Hampton Inn and Suites Albuquerque-Coors Rd, NM
ABQDUHT	Home2 Suites by Hilton Albuquerque/Downtown-University, NM
ABQEMES	Embassy Suites by Hilton Albuquerque
ABQHWHW	Homewood Suites by Hilton Albuquerque Uptown
ABQMTHX	Hampton Inn Albuquerque-University
ABQNJHX	Hampton Inn and Suites Albuquerque North/I-25
ABQRRGI	Hilton Garden Inn Albuequerque North/Rio Rancho
ABQUPGI	Hilton Garden Inn Albuquerque Uptown, NM
ABRSDHX	Hampton Inn and Suites Aberdeen, SD
ABYDRHX	Hampton Inn and Suites Albany, GA
ABYGIGI	Hilton Garden Inn Albany, GA
ABZACGI	Hilton Garden Inn Aberdeen City Centre
ABZCRGV	Hilton Grand Vacations at Craigendarroch Suites
ABZDTDI	DoubleTree by Hilton Aberdeen City Centre
ABZTTHN	Hilton Aberdeen Treetops
ACTHMHW	Homewood Suites by Hilton Waco, TX
ACTKLGI	Hilton Garden Inn Killeen, TX
ACTSOHX	Hampton Inn Waco-South
ACTWCHX	Hampton Waco North
ACTWHHF	Hilton Waco
ACVCAHX	Hampton Inn and Suites Arcata, CA
ACYHWHW	Homewood Suites by Hilton Atlantic City/Egg Harbor Township
ACYVIHX	Hampton Inn and Suites Vineland, NJ
ADAHIHI	Adana HiltonSA
ADDHITW	Hilton Addis Ababa
ADDILHX	Hampton Inn and Suites Chicago/Addison
ADEGAHX	Hampton Inn Adel
ADLHITW	Hilton Adelaide
ADWCSHX	Hampton Inn and Suites Camp Springs/Andrews AFB, MD
AEXLAHX	Hampton Inn and Suites Alexandria, LA
